,exchange,volume_1,volume_2,volume_3,volume_4,volume_5,volume_6
0,Binance,406274.9498558305,413211.6867856234,413058.452428688,410882.8660406603,416210.7302984128,405537.1960495776
1,Bybit,84794.91691913009,86027.94329540973,87549.67700784997,90456.89387389606,93904.93323119714,94409.75582087424
2,OKX,62349.167089606,63490.57928590352,63249.732898355935,63480.05295046571,64269.85981953249,64049.71628221069
3,Coinbase Exchange,54175.04626447144,55274.34664616245,54645.450994430284,54400.899133584426,53623.12148511495,51642.35396171008
4,Bitget,46808.751280919554,45805.05085656016,45534.05600260049,44853.16073124084,44986.266643081246,44908.87393127865
5,HTX,39248.85863561656,39250.91098965959,39500.74616354961,40157.05871911499,40933.44732888034,40956.848975075925
6,Kraken,21978.973089594147,21611.21938714805,21273.2750462372,21318.333259716204,22293.21016895506,22600.87586144668
7,KuCoin,15063.116331398029,15828.530691830312,16119.278275521625,20363.431969953726,20572.885510263004,20326.950096107004
8,Crypto.com Exchange,21991.270993946368,21903.816463185398,21876.469163074576,22332.08011173925,22487.951005989988,22714.41162812828
